Alpine function Stacionary GA con operadores normales Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
19,260.72,91.00,8,10
20,112.71,67.61,8,10
1,237.33,385.41,8,30
2,274.61,4.75,5,30
3,153.65,101.98,7,30
4,336.27,166.12,1,30
5,236.06,3.99,6,30
6,249.38,4.35,7,30
7,601.74,30.79,6,30
8,426.81,35.70,5,30
9,372.75,0.50,4,30
10,132.91,6.22,7,30
11,207.32,4.62,4,30
12,322.62,6058.72,1,30
13,206.22,579.33,7,30
14,316.14,8679.66,2,30
15,251.42,7.75,6,30
16,178.80,0.99,3,30
17,104.65,20030.20,8,30
18,318.79,0.90,7,30
19,89.58,8315.93,8,30
20,190.42,3399.83,1,30
Streched function Stacionary GA con operadores normales Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,367.65,2.27,3,10
2,564.97,1.80,8,10
3,455.38,2.17,0,10
4,200.32,2.31,1,10
5,118.62,1.74,8,10
6,607.11,1.78,6,10
7,400.88,2.09,3,10
8,342.02,2.36,1,10
9,299.93,2.69,0,10
10,342.66,1.41,5,10
11,315.39,2.19,2,10
12,330.88,3.16,1,10
13,155.37,2.57,3,10
14,407.20,2.74,7,10
15,403.27,3.09,0,10
16,350.41,2.39,8,10
17,392.57,2.50,1,10
18,255.86,2.72,5,10
19,201.90,3.21,0,10
20,411.97,2.48,2,10
1,341.12,2.26,6,30
2,204.62,3.31,8,30
3,450.50,2.09,3,30
4,347.30,1.90,4,30
5,567.73,2.54,2,30
6,429.99,2.02,7,30
7,402.69,2.55,6,30
8,219.13,2.23,5,30
9,568.28,2.51,4,30
10,169.86,2.49,7,30
11,203.12,2.32,7,30
12,184.81,2.34,1,30
13,158.74,2.13,0,30
14,527.56,2.70,2,30
15,360.21,2.75,8,30
16,492.02,2.59,4,30
17,356.89,1.35,8,30
18,104.18,3.25,8,30
19,167.45,2.07,7,30
20,359.43,2.22,7,30
Sum Squares function Stacionary GA con operadores normales Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,264.88,15.17,3,10
2,250.39,6.92,2,10
3,257.38,50.12,4,10
4,331.75,10.56,8,10
5,330.79,23.27,7,10
6,298.44,26.54,3,10
7,434.52,7.67,8,10
8,300.35,14.64,6,10
9,379.84,17.56,8,10
10,234.66,18.85,3,10
11,350.82,21.67,4,10
12,284.29,23.58,4,10
13,327.36,26.98,5,10
14,144.67,28.56,8,10
15,245.05,41.95,8,10
16,449.53,23.17,4,10
17,201.58,50.56,7,10
18,278.56,9.47,5,10
19,210.46,20.19,7,10
20,370.57,21.04,8,10
1,85.39,39.34,5,30
2,239.43,34.80,2,30
3,236.80,15.92,3,30
4,213.81,36.43,4,30
5,386.31,68.84,8,30
6,326.46,10.91,3,30
7,424.33,8.46,6,30
8,141.63,36.59,8,30
9,267.71,28.23,8,30
10,255.06,46.19,8,30
11,73.50,20.06,3,30
12,118.64,6.22,8,30
13,111.03,7.98,7,30
14,73.22,27.76,2,30
15,138.73,30.07,6,30
16,72.40,19.80,8,30
17,73.01,41.99,8,30
18,110.94,15.11,3,30
19,113.19,9.33,5,30
20,112.64,4.65,7,30
Alpine function Generational GA con operadores normales Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,3372.64,15,4,8.02,24.64,7,10
2,3366.76,327,2,8.27,18.88,8,10
3,3351.56,1,1,6.22,18.35,9,10
4,3366.85,122,4,7.82,20.77,6,10
5,2284.67,38,7,7.10,21.06,0,10
6,3395.62,174,2,6.07,9.34,7,10
7,3393.11,378,9,5.77,19.43,5,10
8,3396.66,96,7,3.07,15.54,5,10
9,3382.44,416,4,6.68,16.34,2,10
10,3365.01,210,6,6.92,14.35,4,10
11,2261.40,86,6,7.31,23.14,5,10
12,2236.08,156,3,6.95,16.23,0,10
13,3407.34,164,0,4.82,12.61,9,10
14,2258.09,224,0,6.96,26.20,4,10
15,3376.12,442,7,4.28,12.85,6,10
16,2256.49,45,8,5.78,14.05,4,10
17,2272.78,173,9,6.42,10.25,1,10
18,3391.56,168,7,6.97,23.15,6,10
19,3391.10,381,7,5.46,23.96,9,10
20,2261.58,126,2,6.34,23.27,2,10
1,3389.40,300,4,6.54,23.97,3,30
2,3353.89,257,6,7.72,23.72,8,30
3,2240.72,197,5,7.43,17.67,2,30
4,3349.08,39,9,6.56,21.80,8,30
5,2258.26,103,7,5.64,17.85,8,30
6,3330.23,407,6,6.52,17.62,4,30
7,3384.23,479,4,8.01,16.47,0,30
8,3371.90,467,8,6.48,21.66,4,30
9,2251.57,301,6,6.31,15.42,2,30
10,2262.74,180,7,7.26,21.24,6,30
11,3375.15,102,4,6.59,16.14,7,30
12,2214.24,317,8,6.92,18.64,8,30
13,3330.27,377,1,6.02,21.48,6,30
14,3359.46,379,5,5.95,20.44,4,30
15,3375.43,354,5,7.01,15.42,8,30
16,3362.20,80,4,6.90,23.81,8,30
17,2285.93,462,2,6.76,20.63,2,30
18,3425.77,386,6,6.45,24.47,6,30
19,2339.85,445,3,5.83,15.75,4,30
20,3511.29,20,0,7.10,15.58,1,30
Dixon function Generational GA con operadores normales Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,3597.60,316,8,65.03,661.72,1,10
2,3567.15,284,3,168.76,1204.47,8,10
3,3593.69,453,8,186.38,299.13,4,10
4,3575.97,389,8,99.60,882.28,6,10
5,2424.82,344,6,120.97,925.39,1,10
6,2366.03,330,2,182.65,787.96,1,10
7,2408.31,29,5,140.55,970.11,7,10
8,2423.78,121,1,169.40,977.54,9,10
9,3591.02,330,8,185.65,780.27,8,10
10,3595.22,424,3,133.89,669.79,8,10
11,3576.24,129,7,80.90,774.75,4,10
12,2367.72,463,5,162.41,747.07,0,10
13,3569.58,356,1,129.52,831.24,0,10
14,2407.51,401,8,147.62,795.95,7,10
15,2390.68,488,6,175.33,862.59,8,10
16,2388.13,426,4,92.28,1176.16,4,10
17,2386.50,139,3,154.62,1082.53,9,10
18,2400.00,167,3,136.42,862.98,7,10
19,2368.24,152,6,194.20,1186.94,2,10
20,2395.38,319,0,109.82,532.35,8,10
1,2384.48,478,4,147.26,859.43,7,30
2,3597.38,390,4,131.35,738.27,0,30
3,2402.36,327,4,173.24,373.00,3,30
4,2389.90,257,2,79.92,999.79,7,30
5,2398.13,377,8,137.12,1274.96,7,30
6,2430.03,256,8,96.33,569.89,6,30
7,2416.44,366,4,186.10,646.58,4,30
8,3575.46,396,2,125.15,591.19,3,30
9,3581.56,369,5,108.19,812.55,4,30
10,3446.14,181,3,114.56,936.71,7,30
11,2397.21,108,5,169.79,522.23,7,30
12,3579.00,453,6,176.00,876.95,3,30
13,3413.53,406,6,91.33,917.75,0,30
14,1555.91,255,4,125.65,414.88,5,30
15,1437.88,33,0,170.53,789.91,3,30
16,2035.15,349,5,106.05,1385.53,2,30
17,2093.81,471,1,189.75,1044.42,8,30
18,1908.01,491,0,135.21,882.95,2,30
19,2455.50,101,7,99.57,527.66,2,30
20,3754.47,483,3,138.91,893.34,5,30
Quintic function Generational GA con operadores normales Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,2893.49,438,9,566.27,97639.48,1,10
2,2943.39,133,8,615.03,57259.79,1,10
3,2400.52,224,7,2537.45,40103.11,1,10
4,1567.69,281,6,1670.67,83929.84,8,10
5,2311.63,491,1,956.14,58951.96,9,10
6,2826.32,225,5,1236.28,73936.96,4,10
7,4338.92,400,6,239.29,63777.14,5,10
8,2899.75,59,5,1918.24,22678.39,7,10
9,4294.04,89,7,147.61,60824.38,2,10
10,2867.41,475,8,2501.45,53398.32,8,10
11,2891.93,363,3,2519.22,60457.27,7,10
12,4294.47,482,6,435.58,25227.71,2,10
13,2873.52,191,5,2379.61,47812.71,9,10
14,2916.83,39,3,460.69,66716.72,1,10
15,2864.62,356,7,885.61,70586.39,6,10
16,4339.19,453,8,858.67,20353.84,0,10
17,2890.71,499,7,2300.06,70393.31,4,10
18,2880.71,64,8,1316.87,52137.96,9,10
19,2897.40,463,1,917.09,19086.58,7,10
20,4315.13,315,4,1101.78,46905.70,1,10
1,2887.17,190,7,1021.29,32103.10,5,30
2,4260.70,222,3,1741.03,27586.41,5,30
3,2899.55,183,1,1756.90,39219.26,2,30
4,4327.18,303,4,1061.91,28435.05,2,30
5,4301.01,366,8,1358.61,40061.42,9,30
6,4308.56,77,6,2799.39,36054.42,9,30
7,4307.86,419,8,1326.02,95356.48,4,30
8,4307.97,325,0,1191.10,67424.45,3,30
9,4326.11,327,2,954.40,17725.06,7,30
10,4323.32,241,3,840.35,67782.43,0,30
11,4322.45,169,1,193.60,27351.39,8,30
12,2884.70,200,2,1724.92,12686.01,7,30
13,2900.11,274,4,640.51,82894.41,7,30
14,4365.54,211,0,821.39,75913.71,6,30
15,4317.08,264,7,1306.54,58778.14,9,30
16,4306.99,171,0,497.69,24712.84,8,30
17,2888.04,248,5,1108.29,29942.37,5,30
18,2866.09,192,3,1085.75,47584.59,0,30
19,2927.30,4,8,1981.37,59970.60,9,30
20,4134.13,59,5,789.21,61634.48,8,30
Schwefel function Generational GA con operadores normales Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,2108.79,211,7,180580.07,327196272.25,7,10
2,2132.12,475,7,57725.54,216315047.63,8,10
3,2141.43,280,4,127799.85,314088068.09,7,10
4,3171.35,374,4,146056.09,993116115.21,1,10
5,3186.80,439,1,614168.60,174394325.64,7,10
6,2119.70,114,6,1457754.64,2923650560.22,6,10
7,2144.20,344,2,2859804.44,4284451491.32,5,10
8,3154.34,407,8,51748.93,916063176.49,7,10
9,3167.50,157,8,445591.16,3795124540.95,4,10
10,2105.53,73,3,2691976.60,211749640.14,5,10
11,2162.31,133,7,3191373.19,1798486005.06,2,10
12,3160.07,245,5,1422597.45,4500137026.31,4,10
13,2120.80,470,9,221066.55,145659004.49,0,10
14,2165.87,338,2,5462893.95,886830947.25,9,10
15,2120.90,107,2,1606947.49,803822731.68,9,10
16,3154.09,309,3,731877.43,1303616732.97,5,10
17,3181.20,84,8,212069.33,131527369.17,4,10
18,2130.76,250,5,336042.43,630228847.94,3,10
19,3137.02,297,2,61604.55,1022750965.22,8,10
20,3185.62,497,3,325873.87,102929440.33,8,10
1,3191.12,189,6,1882272.35,227505797.37,2,30
2,2110.57,190,5,939548.34,1976519260.87,2,30
3,2141.37,107,5,672887.59,12947923.11,8,30
4,3194.14,186,5,1599407.91,4923215255.87,6,30
5,2130.22,358,2,108822.95,686225690.22,8,30
6,3183.67,295,8,63919.50,24941215.38,1,30
7,3146.90,52,7,113901.25,1413121944.02,2,30
8,3198.88,401,1,123557.78,1219621808.54,5,30
9,2133.89,445,3,636884.56,445886409.93,2,30
10,3205.13,448,8,877364.91,321625809.27,7,30
11,2144.94,144,2,35269.60,16289902.44,7,30
12,2095.10,430,8,1492653.70,917202389.53,2,30
13,3188.14,153,2,1467866.14,973686501.47,4,30
14,3191.77,114,7,8915.66,2979569973.81,1,30
15,2143.58,245,6,1353222.51,1847351134.11,8,30
16,3183.63,30,4,61283.75,1059346682.93,7,30
17,2136.22,2,2,2130385.80,1674215582.08,6,30
18,3170.69,245,6,1034493.53,1647780452.16,5,30
19,2180.18,390,2,1689937.64,1107523020.83,6,30
20,3693.71,471,6,256106.47,67367238.15,8,30
Streched function Generational GA con operadores normales Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,4239.91,54,8,2.78,8.57,8,10
2,4260.23,451,3,3.39,8.59,0,10
3,2808.67,73,8,4.08,6.75,7,10
4,2854.77,275,0,3.38,9.50,8,10
5,2815.20,33,8,3.32,10.94,1,10
6,4242.60,271,9,3.09,9.80,7,10
7,2870.15,95,9,3.63,11.01,6,10
8,2834.72,64,9,3.53,10.34,8,10
9,4270.45,290,4,2.78,8.40,5,10
10,4222.64,181,8,3.14,8.42,6,10
11,4220.54,208,1,3.04,7.90,7,10
12,4226.04,144,7,3.27,5.30,7,10
13,2842.40,158,8,3.86,9.32,1,10
14,2854.02,230,4,3.47,10.06,4,10
15,2837.72,321,1,2.90,7.98,7,10
16,4271.26,272,8,3.12,8.26,6,10
17,2827.61,319,8,3.34,7.57,0,10
18,4257.78,153,4,2.85,5.29,2,10
19,4253.89,139,8,2.94,9.03,9,10
20,4227.17,474,5,3.62,7.56,1,10
1,4212.79,289,1,3.29,10.22,5,30
2,4246.69,464,8,3.42,9.31,7,30
3,2815.50,479,4,3.67,10.10,0,30
4,4212.10,483,4,3.02,8.09,4,30
5,4204.08,293,1,3.38,7.10,8,30
6,2854.40,222,3,3.27,8.95,5,30
7,4238.16,30,4,3.31,8.13,2,30
8,2847.84,488,6,3.16,12.42,3,30
9,4247.72,216,9,2.43,7.29,9,30
10,2835.95,22,5,3.29,9.25,1,30
11,4256.98,473,4,2.60,9.52,9,30
12,4246.70,268,2,2.34,8.31,3,30
13,2833.43,379,4,3.45,9.35,8,30
14,2853.40,158,8,2.69,9.28,7,30
15,4254.58,182,3,3.92,8.76,8,30
16,4231.66,250,6,3.26,9.25,2,30
17,2843.41,81,7,2.04,8.68,5,30
18,4240.45,302,5,3.24,10.05,2,30
19,3896.93,468,8,2.81,5.25,9,30
20,2560.18,265,4,3.22,7.99,2,30
Sum Squares function Generational GA con operadores normales Por torneo
Iteracion,Tiempo_ms,Gen_sol,Iter_gen,Sol_gen,Sol,Iter_sol,Dimension
1,2270.94,464,6,212.38,1086.74,9,10
2,3456.54,186,2,180.45,782.77,4,10
3,3424.98,240,6,135.18,696.34,5,10
4,3411.51,330,6,209.88,1210.77,1,10
5,3418.22,392,2,204.96,502.96,6,10
6,2266.90,160,3,196.81,1064.13,7,10
7,2269.60,26,5,129.68,1216.05,5,10
8,3399.65,277,8,235.59,1202.62,5,10
9,2259.43,24,6,195.42,1432.12,6,10
10,3393.68,237,0,182.00,916.84,0,10
11,2271.89,356,8,182.87,784.01,9,10
12,2300.23,34,5,93.64,900.64,7,10
13,3411.20,11,0,190.78,829.70,4,10
14,3420.40,52,3,256.61,1468.03,2,10
15,2272.74,414,3,212.06,664.07,6,10
16,2289.11,495,2,189.33,933.61,9,10
17,3403.34,23,1,187.88,1306.89,6,10
18,3415.56,234,0,194.37,1351.47,7,10
19,2277.81,227,4,234.61,1093.72,4,10
20,2268.82,499,3,269.92,1010.85,5,10
1,2274.88,353,0,225.57,1149.59,1,30
2,3393.11,432,2,160.95,336.00,9,30
3,3387.86,24,2,169.97,820.78,8,30
4,3384.94,165,7,202.24,1154.39,3,30
5,2295.00,445,9,203.53,660.24,4,30
6,3399.87,328,6,258.14,768.02,6,30
7,3379.87,161,5,156.13,1211.66,5,30
8,2289.34,443,2,139.88,618.14,4,30
9,2293.78,383,7,254.69,671.16,7,30
10,3424.45,379,5,167.32,1141.79,7,30
11,3421.35,48,1,192.26,1373.98,6,30
12,3395.32,149,7,168.54,1157.49,4,30
13,3411.34,429,0,197.97,777.35,3,30
14,2262.69,162,4,245.07,909.35,4,30
15,3442.55,250,0,226.45,943.04,7,30
16,3429.57,212,8,212.12,826.56,3,30
17,2292.03,136,0,203.51,603.07,0,30
18,3411.19,372,8,189.02,852.38,8,30
19,1280.33,251,6,264.15,845.29,1,30
20,1118.88,353,7,193.80,819.01,7,30
