Conveniente,Mejor Ejecución,,,,Desviación Ejecución,,,,
Funciones,RMHC,SA,GA_St,GA_Gen,RMHC,SA,GA_St,GA_Gen,Dimensión
Alpine,0.31,0.01,1.7,0.23,2.50438635198326,3.49524888241167,0.030045798375147,1.39596015344278,10
Dixon,0.35,0.5,17.74,0.16,3.14824220796304,2.89586929953684,2.85881251571347,18.7589992470281,10
Quintic,17.77,0.11,24.9,17.76,0.008046738469715,0.006782329983125,0.03597221149721,75.4345196362382,10
Schewel,0.31,0,62.45,0.37,2.93730875973228,2.27723758093002,0.008717797887081,41149.1606627086,10
Streched,0.33,0.29,1.55,0.23,2.88042266863736,3.39781841774984,0.265376619166045,0.407004606853534,10
Sum Squares,0.36,0.01,24.75,0.17,2.76878384855156,3.68812906498674,0.522363857861549,23.3106045127534,10
Promedio,3.23833333333333,0.153333333333333,22.1816666666667,3.15333333333333,2.3745317625562,2.62684759593304,0.620214800083418,6878.07795847749,
,,,,,,,,,
Conveniente,Promedio Tiempo,,,,Desviación Tiempo,,,,
Funciones,RMHC,SA,GA_St,GA_Gen,RMHC,SA,GA_St,GA_Gen,Dimensión
Alpine,3.893,23.574,598.8635,2704.606,1.38348509207725,78.5632916443806,459.670630900811,648.707644870939,10
Dixon,2.998,30.221,326.175,2986.513,0.997815614229403,109.394724136953,111.321284555111,594.035706932673,10
Quintic,43.708,33.4685,337.237,3399.759,116.926768432211,108.421162983755,75.4822868029315,969.83585637416,10
Schewel,25.5165,22.23,276.873,2667.1315,101.79212284234,87.3161674032936,116.020150323123,521.926823599583,10
Streched,24.0725,43.299,337.236,3575.967,69.5800139318037,111.57662693862,111.919405395132,680.625729377754,10
Sum Squares,37.938,2.445,275.8875,2872.48,98.3277078752475,0.392103302714986,72.6448568637175,606.380989576685,10
Promedio,23.021,25.8729166666667,358.712,3034.40941666667,64.8346522979849,82.6106794016195,157.843102473471,670.252125121966,
,,,,,,,,,
Conveniente,Mejor Ejecución,,,,Desviación Ejecución,,,,
Funciones,RMHC,SA,GA_St,GA_Gen,RMHC,SA,GA_St,GA_Gen,Dimensión
Alpine,0.23,0.4,0.01,1.3,4.32466761728575,3.66680961463777,0.070091012262629,1.38066243158855,30
Dixon,0.16,0.25,0.45,22.22,1.97410258092127,2.57334412778392,2.36513271297828,22.4086149505051,30
Quintic,17.76,17.76,0.06,11.2,0.009733961166966,0.010049875621121,0.043886216514983,67.8087303578971,30
Schewel,0.37,0.27,0,1.81,3.09769995319108,2.55750855326038,0,27260.6496923822,30
Streched,0.23,0.37,0.35,1.8,1.98687663180178,1.85418789500956,0.231954198065049,0.381268933956073,30
Sum Squares,0.17,0.31,0.01,4.78,2.68987783179831,2.04993756002469,0.04563715591489,30.7315949594225,30
Promedio,3.15333333333333,3.22666666666667,0.146666666666667,7.185,2.34715976269419,2.11863960438958,0.459450215955972,4563.89342733593,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Conveniente,Promedio Tiempo,,,,Desviación Tiempo,,,,
Funciones,RMHC,SA,GA_St,GA_Gen,RMHC,SA,GA_St,GA_Gen,Dimensión
Alpine,41.1805,18.2975,324.648,2975.907,115.021460105278,65.7550702132543,101.082279436111,531.262729956657,30
Dixon,326.175,2986.513,24.0285,38.986,87.4506628491174,94.6392042654629,100.152102219574,758.042527496149,30
Quintic,337.237,3399.759,27.2755,69.2915,87.5313630349145,139.579892365448,96.9247690673029,708.601287615963,30
Schewel,276.873,2667.1315,22.031,2.183,87.5120522499615,0.958212398166502,93.5797490379195,507.24261416481,30
Streched,337.236,3575.967,54.5195,24.6895,137.276587314626,87.7134658689873,100.847699650265,700.471614313528,30
Sum Squares,275.8875,2872.48,28.794,31.7035,109.233948816291,89.067859482251,90.7710912956322,538.226417900497,30
Promedio,358.712,3034.40941666667,32.9715,30.8585,104.004345728365,79.618950765595,97.2262817844674,623.974531907934,
